,protein,layer,value
144,NET,VI,
145,DBH,I,
146,NET,I,
147,DBH,II,
148,NET,II,
149,DBH,III,
150,NET,III,
151,DBH,IVa,
152,NET,IVa,
153,DBH,IVb,
154,NET,IVb,
155,DBH,IVc,
156,NET,IVc,
157,DBH,IVc,
158,NET,IVc,
159,DBH,V,
160,NET,V,
161,DBH,VI,
162,NET,VI,
163,DBH,I,
164,NET,I,
165,DBH,II,
166,NET,II,
167,DBH,III,
168,NET,III,
169,DBH,IVa,
170,NET,IVa,
171,DBH,IVb,
172,NET,IVb,
173,DBH,IVc,
174,NET,IVc,
175,DBH,IVc,
176,NET,IVc,
177,DBH,V,
178,NET,V,
179,DBH,VI,
180,NET,VI,
181,DBH,I,
182,NET,I,
183,DBH,II,
184,NET,II,
185,DBH,III,
186,NET,III,
187,DBH,IVa,
188,NET,IVa,
189,DBH,IVb,
190,NET,IVb,
191,DBH,IVc,
192,NET,IVc,
193,DBH,IVc,
194,NET,IVc,
195,DBH,V,
196,NET,V,
197,DBH,VI,
198,NET,VI,
199,DBH,I,
200,NET,I,
201,DBH,II,
202,NET,II,
203,DBH,III,
204,NET,III,
205,DBH,IVa,
206,NET,IVa,
207,DBH,IVb,
208,NET,IVb,
209,DBH,IVc,
210,NET,IVc,
211,DBH,IVc,
212,NET,IVc,
213,DBH,V,
214,NET,V,
215,DBH,VI,
216,NET,VI,
217,DBH,I,
218,NET,I,
219,DBH,II,
220,NET,II,
221,DBH,III,
222,NET,III,
223,DBH,IVa,
224,NET,IVa,
225,DBH,IVb,
226,NET,IVb,
227,DBH,IVc,
228,NET,IVc,
229,DBH,IVc,
230,NET,IVc,
231,DBH,V,
232,NET,V,
233,DBH,VI,
234,NET,VI,
235,DBH,I,
236,NET,I,
237,DBH,II,
238,NET,II,
239,DBH,III,
240,NET,III,
241,DBH,IVa,
242,NET,IVa,
243,DBH,IVb,
244,NET,IVb,
245,DBH,IVc,
246,NET,IVc,
247,DBH,IVc,
248,NET,IVc,
249,DBH,V,
250,NET,V,
251,DBH,VI,
252,NET,VI,
253,DBH,I,
254,NET,I,
255,DBH,II,
256,NET,II,
257,DBH,III,
258,NET,III,
259,DBH,IVa,
260,NET,IVa,
261,DBH,IVb,
262,NET,IVb,
263,DBH,IVc,
264,NET,IVc,
265,DBH,IVc,
266,NET,IVc,
267,DBH,V,
268,NET,V,
269,DBH,VI,
270,NET,VI,
271,DBH,I,
272,NET,I,
273,DBH,II,
274,NET,II,
275,DBH,III,
276,NET,III,
277,DBH,IVa,
278,NET,IVa,
279,DBH,IVb,
280,NET,IVb,
281,DBH,IVc,
282,NET,IVc,
283,DBH,IVc,
284,NET,IVc,
285,DBH,V,
286,NET,V,
287,DBH,VI,
288,NET,VI,
289,DBH,I,
290,NET,I,
291,DBH,II,
292,NET,II,
293,DBH,III,
294,NET,III,
295,DBH,IVa,
296,NET,IVa,
297,DBH,IVb,
298,NET,IVb,
299,DBH,IVc,
300,NET,IVc,
301,DBH,IVc,
302,NET,IVc,
303,DBH,V,
304,NET,V,
305,DBH,VI,
306,NET,VI,
307,DBH,I,
308,NET,I,
309,DBH,II,
310,NET,II,
311,DBH,III,
312,NET,III,
313,DBH,IVa,
314,NET,IVa,
315,DBH,IVb,
316,NET,IVb,
317,DBH,IVc,
318,NET,IVc,
319,DBH,IVc,
320,NET,IVc,
321,DBH,V,
322,NET,V,
323,DBH,VI,
324,NET,VI,
325,DBH,I,
326,NET,I,
327,DBH,II,
328,NET,II,
329,DBH,III,
330,NET,III,
331,DBH,IVa,
332,NET,IVa,
333,DBH,IVb,
334,NET,IVb,
335,DBH,IVc,
336,NET,IVc,
337,DBH,IVc,
338,NET,IVc,
339,DBH,V,
340,NET,V,
341,DBH,VI,
342,NET,VI,
343,DBH,I,
344,NET,I,
345,DBH,II,
346,NET,II,
347,DBH,III,
348,NET,III,
349,DBH,IVa,
350,NET,IVa,
351,DBH,IVb,
352,NET,IVb,
353,DBH,IVc,
354,NET,IVc,
355,DBH,IVc,
356,NET,IVc,
357,DBH,V,
358,NET,V,
359,DBH,VI,
360,NET,VI,
361,DBH,I,
362,NET,I,
363,DBH,II,
364,NET,II,
365,DBH,III,
366,NET,III,
367,DBH,IVa,
368,NET,IVa,
369,DBH,IVb,
370,NET,IVb,
371,DBH,IVc,
372,NET,IVc,
373,DBH,IVc,
374,NET,IVc,
375,DBH,V,
376,NET,V,
377,DBH,VI,
378,NET,VI,
379,DBH,I,
380,NET,I,
381,DBH,II,
382,NET,II,
383,DBH,III,
384,NET,III,
385,DBH,IVa,
386,NET,IVa,
387,DBH,IVb,
388,NET,IVb,
389,DBH,IVc,
390,NET,IVc,
391,DBH,IVc,
392,NET,IVc,
393,DBH,V,
394,NET,V,
395,DBH,VI,
396,NET,VI,
397,DBH,I,
398,NET,I,
399,DBH,II,
400,NET,II,
401,DBH,III,
402,NET,III,
403,DBH,IVa,
404,NET,IVa,
405,DBH,IVb,
406,NET,IVb,
407,DBH,IVc,
408,NET,IVc,
409,DBH,IVc,
410,NET,IVc,
411,DBH,V,
412,NET,V,
413,DBH,VI,
414,NET,VI,
415,DBH,I,
416,NET,I,
417,DBH,II,
418,NET,II,
419,DBH,III,
420,NET,III,
421,DBH,IVa,
422,NET,IVa,
423,DBH,IVb,
424,NET,IVb,
425,DBH,IVc,
426,NET,IVc,
427,DBH,IVc,
428,NET,IVc,
429,DBH,V,
430,NET,V,
431,DBH,VI,
432,NET,VI,
433,DBH,I,
434,NET,I,
435,DBH,II,
436,NET,II,
437,DBH,III,
438,NET,III,
439,DBH,IVa,
440,NET,IVa,
441,DBH,IVb,
442,NET,IVb,
443,DBH,IVc,
444,NET,IVc,
445,DBH,IVc,
446,NET,IVc,
447,DBH,V,
448,NET,V,
449,DBH,VI,
450,NET,VI,
451,DBH,I,
452,NET,I,
453,DBH,II,
454,NET,II,
455,DBH,III,
456,NET,III,
457,DBH,IVa,
458,NET,IVa,
459,DBH,IVb,
460,NET,IVb,
461,DBH,IVc,
462,NET,IVc,
463,DBH,IVc,
464,NET,IVc,
465,DBH,V,
466,NET,V,
467,DBH,VI,
468,NET,VI,
469,DBH,I,
470,NET,I,
471,DBH,II,
472,NET,II,
473,DBH,III,
474,NET,III,
475,DBH,IVa,
476,NET,IVa,
477,DBH,IVb,
478,NET,IVb,
479,DBH,IVc,
480,NET,IVc,
481,DBH,IVc,
482,NET,IVc,
483,DBH,V,
484,NET,V,
485,DBH,VI,
486,NET,VI,
487,DBH,I,
488,NET,I,
489,DBH,II,
490,NET,II,
491,DBH,III,
492,NET,III,
493,DBH,IVa,
494,NET,IVa,
495,DBH,IVb,
496,NET,IVb,
497,DBH,IVc,
498,NET,IVc,
499,DBH,IVc,
500,NET,IVc,
501,DBH,V,
502,NET,V,
503,DBH,VI,
504,NET,VI,
505,DBH,I,
506,NET,I,
507,DBH,II,
508,NET,II,
509,DBH,III,
510,NET,III,
511,DBH,IVa,
512,NET,IVa,
513,DBH,IVb,
514,NET,IVb,
515,DBH,IVc,
516,NET,IVc,
517,DBH,IVc,
518,NET,IVc,
519,DBH,V,
520,NET,V,
521,DBH,VI,
522,NET,VI,
523,DBH,I,
524,NET,I,
525,DBH,II,
526,NET,II,
527,DBH,III,
528,NET,III,
529,DBH,IVa,
530,NET,IVa,
531,DBH,IVb,
532,NET,IVb,
533,DBH,IVc,
534,NET,IVc,
535,DBH,IVc,
536,NET,IVc,
537,DBH,V,
538,NET,V,
539,DBH,VI,
540,NET,VI,
541,DBH,I,
542,NET,I,
543,DBH,II,
544,NET,II,
545,DBH,III,
546,NET,III,
547,DBH,IVa,
548,NET,IVa,
549,DBH,IVb,
550,NET,IVb,
551,DBH,IVc,
552,NET,IVc,
553,DBH,IVc,
554,NET,IVc,
555,DBH,V,
556,NET,V,
557,DBH,VI,
558,NET,VI,
559,DBH,I,
560,NET,I,
561,DBH,II,
562,NET,II,
563,DBH,III,
564,NET,III,
565,DBH,IVa,
566,NET,IVa,
567,DBH,IVb,
568,NET,IVb,
569,DBH,IVc,
570,NET,IVc,
571,DBH,IVc,
572,NET,IVc,
573,DBH,V,
574,NET,V,
575,DBH,VI,
576,NET,VI,
577,DBH,I,
578,NET,I,
579,DBH,II,
580,NET,II,
581,DBH,III,
582,NET,III,
583,DBH,IVa,
584,NET,IVa,
585,DBH,IVb,
586,NET,IVb,
587,DBH,IVc,
588,NET,IVc,
589,DBH,IVc,
590,NET,IVc,
591,DBH,V,
592,NET,V,
593,DBH,VI,
594,NET,VI,
595,DBH,I,
596,NET,I,
597,DBH,II,
598,NET,II,
599,DBH,III,
600,NET,III,
601,DBH,IVa,
602,NET,IVa,
603,DBH,IVb,
604,NET,IVb,
605,DBH,IVc,
606,NET,IVc,
607,DBH,IVc,
608,NET,IVc,
609,DBH,V,
610,NET,V,
611,DBH,VI,
612,NET,VI,
613,DBH,I,
614,NET,I,
615,DBH,II,
616,NET,II,
617,DBH,III,
618,NET,III,
619,DBH,IVa,
620,NET,IVa,
621,DBH,IVb,
622,NET,IVb,
623,DBH,IVc,
624,NET,IVc,
625,DBH,IVc,
626,NET,IVc,
627,DBH,V,
628,NET,V,
629,DBH,VI,
630,NET,VI,
631,DBH,I,
632,NET,I,
633,DBH,II,
634,NET,II,
635,DBH,III,
636,NET,III,
637,DBH,IVa,
638,NET,IVa,
639,DBH,IVb,
640,NET,IVb,
641,DBH,IVc,
642,NET,IVc,
643,DBH,IVc,
644,NET,IVc,
645,DBH,V,
646,NET,V,
647,DBH,VI,
648,NET,VI,
649,DBH,I,
650,NET,I,
651,DBH,II,
652,NET,II,
653,DBH,III,
654,NET,III,
655,DBH,IVa,
656,NET,IVa,
657,DBH,IVb,
658,NET,IVb,
659,DBH,IVc,
660,NET,IVc,
661,DBH,IVc,
662,NET,IVc,
663,DBH,V,
664,NET,V,
665,DBH,VI,
666,NET,VI,
667,DBH,I,
668,NET,I,
669,DBH,II,
670,NET,II,
671,DBH,III,
672,NET,III,
673,DBH,IVa,
674,NET,IVa,
675,DBH,IVb,
676,NET,IVb,
677,DBH,IVc,
678,NET,IVc,
679,DBH,IVc,
680,NET,IVc,
681,DBH,V,
682,NET,V,
683,DBH,VI,
684,NET,VI,
685,DBH,I,
686,NET,I,
687,DBH,II,
688,NET,II,
689,DBH,III,
690,NET,III,
691,DBH,IVa,
692,NET,IVa,
693,DBH,IVb,
694,NET,IVb,
695,DBH,IVc,
696,NET,IVc,
697,DBH,IVc,
698,NET,IVc,
699,DBH,V,
700,NET,V,
701,DBH,VI,
702,NET,VI,
703,DBH,I,
704,NET,I,
705,DBH,II,
706,NET,II,
707,DBH,III,
708,NET,III,
709,DBH,IVa,
710,NET,IVa,
711,DBH,IVb,
712,NET,IVb,
713,DBH,IVc,
714,NET,IVc,
715,DBH,IVc,
716,NET,IVc,
717,DBH,V,
718,NET,V,
719,DBH,VI,
720,NET,VI,
721,DBH,I,
722,NET,I,
723,DBH,II,
724,NET,II,
725,DBH,III,
726,NET,III,
727,DBH,IVa,
728,NET,IVa,
729,DBH,IVb,
730,NET,IVb,
731,DBH,IVc,
732,NET,IVc,
733,DBH,IVc,
734,NET,IVc,
735,DBH,V,
736,NET,V,
737,DBH,VI,
738,NET,VI,
739,DBH,I,
740,NET,I,
741,DBH,II,
742,NET,II,
743,DBH,III,
744,NET,III,
745,DBH,IVa,
746,NET,IVa,
747,DBH,IVb,
748,NET,IVb,
749,DBH,IVc,
750,NET,IVc,
751,DBH,IVc,
752,NET,IVc,
753,DBH,V,
754,NET,V,
755,DBH,VI,
756,NET,VI,
757,DBH,I,
758,NET,I,
759,DBH,II,
760,NET,II,
761,DBH,III,
762,NET,III,
763,DBH,IVa,
764,NET,IVa,
765,DBH,IVb,
766,NET,IVb,
767,DBH,IVc,
768,NET,IVc,
769,DBH,IVc,
770,NET,IVc,
771,DBH,V,
772,NET,V,
773,DBH,VI,
774,NET,VI,
775,DBH,I,
776,NET,I,
777,DBH,II,
778,NET,II,
779,DBH,III,
780,NET,III,
781,DBH,IVa,
782,NET,IVa,
783,DBH,IVb,
784,NET,IVb,
785,DBH,IVc,
786,NET,IVc,
787,DBH,IVc,
788,NET,IVc,
789,DBH,V,
790,NET,V,
791,DBH,VI,
792,NET,VI,
793,DBH,I,
794,NET,I,
795,DBH,II,
796,NET,II,
797,DBH,III,
798,NET,III,
799,DBH,IVa,
800,NET,IVa,
801,DBH,IVb,
802,NET,IVb,
803,DBH,IVc,
804,NET,IVc,
805,DBH,IVc,
806,NET,IVc,
807,DBH,V,
808,NET,V,
809,DBH,VI,
810,NET,VI,
811,DBH,I,
812,NET,I,
813,DBH,II,
814,NET,II,
815,DBH,III,
816,NET,III,
817,DBH,IVa,
818,NET,IVa,
819,DBH,IVb,
820,NET,IVb,
821,DBH,IVc,
822,NET,IVc,
823,DBH,IVc,
824,NET,IVc,
825,DBH,V,
826,NET,V,
827,DBH,VI,
828,NET,VI,
829,DBH,I,
830,NET,I,
831,DBH,II,
832,NET,II,
833,DBH,III,
834,NET,III,
835,DBH,IVa,
836,NET,IVa,
837,DBH,IVb,
838,NET,IVb,
839,DBH,IVc,
840,NET,IVc,
841,DBH,IVc,
842,NET,IVc,
843,DBH,V,
844,NET,V,
845,DBH,VI,
846,NET,VI,
847,DBH,I,
848,NET,I,
849,DBH,II,
850,NET,II,
851,DBH,III,
852,NET,III,
853,DBH,IVa,
854,NET,IVa,
855,DBH,IVb,
856,NET,IVb,
857,DBH,IVc,
858,NET,IVc,
859,DBH,IVc,
860,NET,IVc,
861,DBH,V,
862,NET,V,
863,DBH,VI,
864,NET,VI,
865,DBH,I,
866,NET,I,
867,DBH,II,
868,NET,II,
869,DBH,III,
870,NET,III,
871,DBH,IVa,
872,NET,IVa,
873,DBH,IVb,
874,NET,IVb,
875,DBH,IVc,
876,NET,IVc,
877,DBH,IVc,
878,NET,IVc,
879,DBH,V,
880,NET,V,
881,DBH,VI,
882,NET,VI,
883,DBH,I,
884,NET,I,
885,DBH,II,
886,NET,II,
887,DBH,III,
888,NET,III,
889,DBH,IVa,
890,NET,IVa,
891,DBH,IVb,
892,NET,IVb,
893,DBH,IVc,
894,NET,IVc,
895,DBH,IVc,
896,NET,IVc,
897,DBH,V,
898,NET,V,
899,DBH,VI,
900,NET,VI,
901,DBH,I,
902,NET,I,
903,DBH,II,
904,NET,II,
905,DBH,III,
906,NET,III,
907,DBH,IVa,
908,NET,IVa,
909,DBH,IVb,
910,NET,IVb,
911,DBH,IVc,
912,NET,IVc,
913,DBH,IVc,
914,NET,IVc,
915,DBH,V,
916,NET,V,
917,DBH,VI,
918,NET,VI,
919,DBH,I,
920,NET,I,
921,DBH,II,
922,NET,II,
923,DBH,III,
924,NET,III,
925,DBH,IVa,
926,NET,IVa,
927,DBH,IVb,
928,NET,IVb,
929,DBH,IVc,
930,NET,IVc,
931,DBH,IVc,
932,NET,IVc,
933,DBH,V,
934,NET,V,
935,DBH,VI,
936,NET,VI,
937,DBH,I,
938,NET,I,
939,DBH,II,
940,NET,II,
941,DBH,III,
942,NET,III,
943,DBH,IVa,
944,NET,IVa,
945,DBH,IVb,
946,NET,IVb,
947,DBH,IVc,
948,NET,IVc,
949,DBH,IVc,
950,NET,IVc,
951,DBH,V,
952,NET,V,
953,DBH,VI,
954,NET,VI,
955,DBH,I,
956,NET,I,
957,DBH,II,
958,NET,II,
959,DBH,III,
960,NET,III,
961,DBH,IVa,
962,NET,IVa,
963,DBH,IVb,
964,NET,IVb,
965,DBH,IVc,
966,NET,IVc,
967,DBH,IVc,
968,NET,IVc,
969,DBH,V,
970,NET,V,
971,DBH,VI,
972,NET,VI,
973,DBH,I,
974,NET,I,
975,DBH,II,
976,NET,II,
977,DBH,III,
978,NET,III,
979,DBH,IVa,
980,NET,IVa,
981,DBH,IVb,
982,NET,IVb,
983,DBH,IVc,
984,NET,IVc,
985,DBH,IVc,
986,NET,IVc,
987,DBH,V,
988,NET,V,
989,DBH,VI,
990,NET,VI,
991,DBH,I,
992,NET,I,
993,DBH,II,
994,NET,II,
995,DBH,III,
996,NET,III,
997,DBH,IVa,
998,NET,IVa,
999,DBH,IVb,
1000,NET,IVb,
1001,DBH,IVc,
1002,NET,IVc,
1003,DBH,IVc,
1004,NET,IVc,
1005,DBH,V,
1006,NET,V,
1007,DBH,VI,
1008,NET,VI,
1009,DBH,I,
1010,NET,I,
1011,DBH,II,
1012,NET,II,
1013,DBH,III,
1014,NET,III,
1015,DBH,IVa,
1016,NET,IVa,
1017,DBH,IVb,
1018,NET,IVb,
1019,DBH,IVc,
1020,NET,IVc,
1021,DBH,IVc,
1022,NET,IVc,
1023,DBH,V,
1024,NET,V,
1025,DBH,VI,
1026,NET,VI,
1027,DBH,I,
1028,NET,I,
1029,DBH,II,
1030,NET,II,
1031,DBH,III,
1032,NET,III,
1033,DBH,IVa,
1034,NET,IVa,
1035,DBH,IVb,
1036,NET,IVb,
1037,DBH,IVc,
1038,NET,IVc,
1039,DBH,IVc,
1040,NET,IVc,
1041,DBH,V,
1042,NET,V,
1043,DBH,VI,
1044,NET,VI,
1045,DBH,I,
1046,NET,I,
1047,DBH,II,
1048,NET,II,
1049,DBH,III,
1050,NET,III,
1051,DBH,IVa,
1052,NET,IVa,
1053,DBH,IVb,
1054,NET,IVb,
1055,DBH,IVc,
1056,NET,IVc,
1057,DBH,IVc,
1058,NET,IVc,
1059,DBH,V,
1060,NET,V,
1061,DBH,VI,
1062,NET,VI,
1063,DBH,I,
1064,NET,I,
1065,DBH,II,
1066,NET,II,
1067,DBH,III,
1068,NET,III,
1069,DBH,IVa,
1070,NET,IVa,
1071,DBH,IVb,
1072,NET,IVb,
1073,DBH,IVc,
1074,NET,IVc,
1075,DBH,IVc,
1076,NET,IVc,
1077,DBH,V,
1078,NET,V,
1079,DBH,VI,
1080,NET,VI,
1081,DBH,I,
1082,NET,I,
1083,DBH,II,
1084,NET,II,
1085,DBH,III,
1086,NET,III,
1087,DBH,IVa,
1088,NET,IVa,
1089,DBH,IVb,
1090,NET,IVb,
1091,DBH,IVc,
1092,NET,IVc,
1093,DBH,IVc,
1094,NET,IVc,
1095,DBH,V,
1096,NET,V,
1097,DBH,VI,
1098,NET,VI,
1099,DBH,I,
1100,NET,I,
1101,DBH,II,
1102,NET,II,
1103,DBH,III,
1104,NET,III,
1105,DBH,IVa,
1106,NET,IVa,
1107,DBH,IVb,
1108,NET,IVb,
1109,DBH,IVc,
1110,NET,IVc,
1111,DBH,IVc,
1112,NET,IVc,
1113,DBH,V,
1114,NET,V,
1115,DBH,VI,
1116,NET,VI,
1117,DBH,I,
1118,NET,I,
1119,DBH,II,
1120,NET,II,
1121,DBH,III,
1122,NET,III,
1123,DBH,IVa,
1124,NET,IVa,
1125,DBH,IVb,
1126,NET,IVb,
1127,DBH,IVc,
1128,NET,IVc,
1129,DBH,IVc,
1130,NET,IVc,
1131,DBH,V,
1132,NET,V,
1133,DBH,VI,
1134,NET,VI,
1135,DBH,I,
1136,NET,I,
1137,DBH,II,
1138,NET,II,
1139,DBH,III,
1140,NET,III,
1141,DBH,IVa,
1142,NET,IVa,
1143,DBH,IVb,
1144,NET,IVb,
1145,DBH,IVc,
1146,NET,IVc,
1147,DBH,IVc,
1148,NET,IVc,
1149,DBH,V,
1150,NET,V,
1151,DBH,VI,
1152,NET,VI,
1153,DBH,I,
1154,NET,I,
1155,DBH,II,
1156,NET,II,
1157,DBH,III,
1158,NET,III,
1159,DBH,IVa,
1160,NET,IVa,
1161,DBH,IVb,
1162,NET,IVb,
1163,DBH,IVc,
1164,NET,IVc,
1165,DBH,IVc,
1166,NET,IVc,
1167,DBH,V,
1168,NET,V,
1169,DBH,VI,
1170,NET,VI,
1171,DBH,I,
1172,NET,I,
1173,DBH,II,
1174,NET,II,
1175,DBH,III,
1176,NET,III,
1177,DBH,IVa,
1178,NET,IVa,
1179,DBH,IVb,
1180,NET,IVb,
1181,DBH,IVc,
1182,NET,IVc,
1183,DBH,IVc,
1184,NET,IVc,
1185,DBH,V,
1186,NET,V,
1187,DBH,VI,
1188,NET,VI,
1189,DBH,I,
1190,NET,I,
1191,DBH,II,
1192,NET,II,
1193,DBH,III,
1194,NET,III,
1195,DBH,IVa,
1196,NET,IVa,
1197,DBH,IVb,
1198,NET,IVb,
1199,DBH,IVc,
1200,NET,IVc,
1201,DBH,IVc,
1202,NET,IVc,
1203,DBH,V,
1204,NET,V,
1205,DBH,VI,
1206,NET,VI,
1207,DBH,I,
1208,NET,I,
1209,DBH,II,
1210,NET,II,
1211,DBH,III,
1212,NET,III,
1213,DBH,IVa,
1214,NET,IVa,
1215,DBH,IVb,
1216,NET,IVb,
1217,DBH,IVc,
1218,NET,IVc,
1219,DBH,IVc,
1220,NET,IVc,
1221,DBH,V,
1222,NET,V,
1223,DBH,VI,
1224,NET,VI,
1225,DBH,I,
1226,NET,I,
1227,DBH,II,
1228,NET,II,
1229,DBH,III,
1230,NET,III,
1231,DBH,IVa,
1232,NET,IVa,
1233,DBH,IVb,
1234,NET,IVb,
1235,DBH,IVc,
1236,NET,IVc,
1237,DBH,IVc,
1238,NET,IVc,
1239,DBH,V,
1240,NET,V,
1241,DBH,VI,
1242,NET,VI,
1243,DBH,I,
1244,NET,I,
1245,DBH,II,
1246,NET,II,
1247,DBH,III,
1248,NET,III,
1249,DBH,IVa,
1250,NET,IVa,
1251,DBH,IVb,
1252,NET,IVb,
1253,DBH,IVc,
1254,NET,IVc,
1255,DBH,IVc,
1256,NET,IVc,
1257,DBH,V,
1258,NET,V,
1259,DBH,VI,
1260,NET,VI,
1261,DBH,I,
1262,NET,I,
1263,DBH,II,
1264,NET,II,
1265,DBH,III,
1266,NET,III,
1267,DBH,IVa,
1268,NET,IVa,
1269,DBH,IVb,
1270,NET,IVb,
1271,DBH,IVc,
1272,NET,IVc,
1273,DBH,IVc,
1274,NET,IVc,
1275,DBH,V,
1276,NET,V,
1277,DBH,VI,
1278,NET,VI,
1279,DBH,I,
1280,NET,I,
1281,DBH,II,
1282,NET,II,
1283,DBH,III,
1284,NET,III,
1285,DBH,IVa,
1286,NET,IVa,
1287,DBH,IVb,
1288,NET,IVb,
1289,DBH,IVc,
1290,NET,IVc,
1291,DBH,IVc,
1292,NET,IVc,
1293,DBH,V,
1294,NET,V,
1295,DBH,VI,
1296,NET,VI,
1297,DBH,I,
1298,NET,I,
1299,DBH,II,
1300,NET,II,
1301,DBH,III,
1302,NET,III,
1303,DBH,IVa,
1304,NET,IVa,
1305,DBH,IVb,
1306,NET,IVb,
1307,DBH,IVc,
1308,NET,IVc,
1309,DBH,IVc,
1310,NET,IVc,
1311,DBH,V,
1312,NET,V,
1313,DBH,VI,
1314,NET,VI,
1315,DBH,I,
1316,NET,I,
1317,DBH,II,
1318,NET,II,
1319,DBH,III,
1320,NET,III,
1321,DBH,IVa,
1322,NET,IVa,
1323,DBH,IVb,
1324,NET,IVb,
1325,DBH,IVc,
1326,NET,IVc,
1327,DBH,IVc,
1328,NET,IVc,
1329,DBH,V,
1330,NET,V,
1331,DBH,VI,
1332,NET,VI,
1333,DBH,I,
1334,NET,I,
1335,DBH,II,
1336,NET,II,
1337,DBH,III,
1338,NET,III,
1339,DBH,IVa,
1340,NET,IVa,
1341,DBH,IVb,
1342,NET,IVb,
1343,DBH,IVc,
1344,NET,IVc,
1345,DBH,IVc,
1346,NET,IVc,
1347,DBH,V,
1348,NET,V,
1349,DBH,VI,
1350,NET,VI,
1351,DBH,I,
1352,NET,I,
1353,DBH,II,
1354,NET,II,
1355,DBH,III,
1356,NET,III,
1357,DBH,IVa,
1358,NET,IVa,
1359,DBH,IVb,
1360,NET,IVb,
1361,DBH,IVc,
1362,NET,IVc,
1363,DBH,IVc,
1364,NET,IVc,
1365,DBH,V,
1366,NET,V,
1367,DBH,VI,
1368,NET,VI,
1369,DBH,I,
1370,NET,I,
1371,DBH,II,
1372,NET,II,
1373,DBH,III,
1374,NET,III,
1375,DBH,IVa,
1376,NET,IVa,
1377,DBH,IVb,
1378,NET,IVb,
1379,DBH,IVc,
1380,NET,IVc,
1381,DBH,IVc,
1382,NET,IVc,
1383,DBH,V,
1384,NET,V,
1385,DBH,VI,
1386,NET,VI,
1387,DBH,I,
1388,NET,I,
1389,DBH,II,
1390,NET,II,
1391,DBH,III,
1392,NET,III,
1393,DBH,IVa,
1394,NET,IVa,
1395,DBH,IVb,
1396,NET,IVb,
1397,DBH,IVc,
1398,NET,IVc,
1399,DBH,IVc,
1400,NET,IVc,
1401,DBH,V,
1402,NET,V,
1403,DBH,VI,
1404,NET,VI,
1405,DBH,I,
1406,NET,I,
1407,DBH,II,
1408,NET,II,
1409,DBH,III,
1410,NET,III,
1411,DBH,IVa,
1412,NET,IVa,
1413,DBH,IVb,
1414,NET,IVb,
1415,DBH,IVc,
1416,NET,IVc,
1417,DBH,IVc,
1418,NET,IVc,
1419,DBH,V,
1420,NET,V,
1421,DBH,VI,
1422,NET,VI,
1423,DBH,I,
1424,NET,I,
1425,DBH,II,
1426,NET,II,
1427,DBH,III,
