,area,protein,layer,value
127,V1,NET,IV,
128,V2,NET,IV,
129,V1,NET,V,
130,V2,NET,V,
131,V1,NET,VI,
132,V2,NET,VI,
133,V1,NET,I,
134,V2,NET,I,
135,V1,NET,II,
136,V2,NET,II,
137,V1,NET,III,
138,V2,NET,III,
139,V1,NET,IV,
140,V2,NET,IV,
141,V1,NET,V,
142,V2,NET,V,
143,V1,NET,VI,
144,V2,NET,VI,
145,V1,NET,I,
146,V2,NET,I,
147,V1,NET,II,
148,V2,NET,II,
149,V1,NET,III,
150,V2,NET,III,
151,V1,NET,IV,
152,V2,NET,IV,
153,V1,NET,V,
154,V2,NET,V,
155,V1,NET,VI,
156,V2,NET,VI,
157,V1,NET,I,
158,V2,NET,I,
159,V1,NET,II,
160,V2,NET,II,
161,V1,NET,III,
162,V2,NET,III,
163,V1,NET,IV,
164,V2,NET,IV,
165,V1,NET,V,
166,V2,NET,V,
167,V1,NET,VI,
168,V2,NET,VI,
169,V1,NET,I,
170,V2,NET,I,
171,V1,NET,II,
172,V2,NET,II,
173,V1,NET,III,
174,V2,NET,III,
175,V1,NET,IV,
176,V2,NET,IV,
177,V1,NET,V,
178,V2,NET,V,
179,V1,NET,VI,
180,V2,NET,VI,
181,V1,NET,I,
182,V2,NET,I,
183,V1,NET,II,
184,V2,NET,II,
185,V1,NET,III,
186,V2,NET,III,
187,V1,NET,IV,
188,V2,NET,IV,
189,V1,NET,V,
190,V2,NET,V,
191,V1,NET,VI,
192,V2,NET,VI,
193,V1,NET,I,
194,V2,NET,I,
195,V1,NET,II,
196,V2,NET,II,
197,V1,NET,III,
198,V2,NET,III,
199,V1,NET,IV,
200,V2,NET,IV,
201,V1,NET,V,
202,V2,NET,V,
203,V1,NET,VI,
204,V2,NET,VI,
205,V1,NET,I,
206,V2,NET,I,
207,V1,NET,II,
208,V2,NET,II,
209,V1,NET,III,
210,V2,NET,III,
211,V1,NET,IV,
212,V2,NET,IV,
213,V1,NET,V,
214,V2,NET,V,
215,V1,NET,VI,
216,V2,NET,VI,
217,V1,NET,I,
218,V2,NET,I,
219,V1,NET,II,
220,V2,NET,II,
221,V1,NET,III,
222,V2,NET,III,
223,V1,NET,IV,
224,V2,NET,IV,
225,V1,NET,V,
226,V2,NET,V,
227,V1,NET,VI,
228,V2,NET,VI,
229,V1,NET,I,
230,V2,NET,I,
231,V1,NET,II,
232,V2,NET,II,
233,V1,NET,III,
234,V2,NET,III,
235,V1,NET,IV,
236,V2,NET,IV,
237,V1,NET,V,
238,V2,NET,V,
239,V1,NET,VI,
240,V2,NET,VI,
241,V1,NET,I,
242,V2,NET,I,
243,V1,NET,II,
244,V2,NET,II,
245,V1,NET,III,
246,V2,NET,III,
247,V1,NET,IV,
248,V2,NET,IV,
249,V1,NET,V,
250,V2,NET,V,
251,V1,NET,VI,
252,V2,NET,VI,
253,V1,NET,I,
254,V2,NET,I,
255,V1,NET,II,
256,V2,NET,II,
257,V1,NET,III,
258,V2,NET,III,
259,V1,NET,IV,
260,V2,NET,IV,
261,V1,NET,V,
262,V2,NET,V,
263,V1,NET,VI,
264,V2,NET,VI,
265,V1,NET,I,
266,V2,NET,I,
267,V1,NET,II,
268,V2,NET,II,
269,V1,NET,III,
270,V2,NET,III,
271,V1,NET,IV,
272,V2,NET,IV,
273,V1,NET,V,
274,V2,NET,V,
275,V1,NET,VI,
276,V2,NET,VI,
277,V1,NET,I,
278,V2,NET,I,
279,V1,NET,II,
280,V2,NET,II,
281,V1,NET,III,
282,V2,NET,III,
283,V1,NET,IV,
284,V2,NET,IV,
285,V1,NET,V,
286,V2,NET,V,
287,V1,NET,VI,
288,V2,NET,VI,
289,V1,NET,I,
290,V2,NET,I,
291,V1,NET,II,
292,V2,NET,II,
293,V1,NET,III,
294,V2,NET,III,
295,V1,NET,IV,
296,V2,NET,IV,
297,V1,NET,V,
298,V2,NET,V,
299,V1,NET,VI,
300,V2,NET,VI,
301,V1,NET,I,
302,V2,NET,I,
303,V1,NET,II,
304,V2,NET,II,
305,V1,NET,III,
306,V2,NET,III,
307,V1,NET,IV,
308,V2,NET,IV,
309,V1,NET,V,
310,V2,NET,V,
311,V1,NET,VI,
312,V2,NET,VI,
313,V1,NET,I,
314,V2,NET,I,
315,V1,NET,II,
316,V2,NET,II,
317,V1,NET,III,
318,V2,NET,III,
319,V1,NET,IV,
320,V2,NET,IV,
321,V1,NET,V,
322,V2,NET,V,
323,V1,NET,VI,
324,V2,NET,VI,
325,V1,NET,I,
326,V2,NET,I,
327,V1,NET,II,
328,V2,NET,II,
329,V1,NET,III,
330,V2,NET,III,
331,V1,NET,IV,
332,V2,NET,IV,
333,V1,NET,V,
334,V2,NET,V,
335,V1,NET,VI,
336,V2,NET,VI,
337,V1,NET,I,
338,V2,NET,I,
339,V1,NET,II,
340,V2,NET,II,
341,V1,NET,III,
342,V2,NET,III,
343,V1,NET,IV,
344,V2,NET,IV,
345,V1,NET,V,
346,V2,NET,V,
347,V1,NET,VI,
348,V2,NET,VI,
349,V1,NET,I,
350,V2,NET,I,
351,V1,NET,II,
352,V2,NET,II,
353,V1,NET,III,
354,V2,NET,III,
355,V1,NET,IV,
356,V2,NET,IV,
357,V1,NET,V,
358,V2,NET,V,
359,V1,NET,VI,
360,V2,NET,VI,
361,V1,NET,I,
362,V2,NET,I,
363,V1,NET,II,
364,V2,NET,II,
365,V1,NET,III,
366,V2,NET,III,
367,V1,NET,IV,
368,V2,NET,IV,
369,V1,NET,V,
370,V2,NET,V,
371,V1,NET,VI,
372,V2,NET,VI,
373,V1,NET,I,
374,V2,NET,I,
375,V1,NET,II,
376,V2,NET,II,
377,V1,NET,III,
378,V2,NET,III,
379,V1,NET,IV,
380,V2,NET,IV,
381,V1,NET,V,
382,V2,NET,V,
383,V1,NET,VI,
384,V2,NET,VI,
385,V1,NET,I,
386,V2,NET,I,
387,V1,NET,II,
388,V2,NET,II,
389,V1,NET,III,
390,V2,NET,III,
391,V1,NET,IV,
392,V2,NET,IV,
393,V1,NET,V,
394,V2,NET,V,
395,V1,NET,VI,
396,V2,NET,VI,
397,V1,NET,I,
398,V2,NET,I,
399,V1,NET,II,
400,V2,NET,II,
401,V1,NET,III,
402,V2,NET,III,
403,V1,NET,IV,
404,V2,NET,IV,
405,V1,NET,V,
406,V2,NET,V,
407,V1,NET,VI,
408,V2,NET,VI,
409,V1,NET,I,
410,V2,NET,I,
411,V1,NET,II,
412,V2,NET,II,
413,V1,NET,III,
414,V2,NET,III,
415,V1,NET,IV,
416,V2,NET,IV,
417,V1,NET,V,
418,V2,NET,V,
419,V1,NET,VI,
420,V2,NET,VI,
421,V1,NET,I,
422,V2,NET,I,
423,V1,NET,II,
424,V2,NET,II,
425,V1,NET,III,
426,V2,NET,III,
427,V1,NET,IV,
428,V2,NET,IV,
429,V1,NET,V,
430,V2,NET,V,
431,V1,NET,VI,
432,V2,NET,VI,
433,V1,NET,I,
434,V2,NET,I,
435,V1,NET,II,
436,V2,NET,II,
437,V1,NET,III,
438,V2,NET,III,
439,V1,NET,IV,
440,V2,NET,IV,
441,V1,NET,V,
442,V2,NET,V,
443,V1,NET,VI,
444,V2,NET,VI,
445,V1,NET,I,
446,V2,NET,I,
447,V1,NET,II,
448,V2,NET,II,
449,V1,NET,III,
450,V2,NET,III,
451,V1,NET,IV,
452,V2,NET,IV,
453,V1,NET,V,
454,V2,NET,V,
455,V1,NET,VI,
456,V2,NET,VI,
457,V1,NET,I,
458,V2,NET,I,
459,V1,NET,II,
460,V2,NET,II,
461,V1,NET,III,
462,V2,NET,III,
463,V1,NET,IV,
464,V2,NET,IV,
465,V1,NET,V,
466,V2,NET,V,
467,V1,NET,VI,
468,V2,NET,VI,
469,V1,NET,I,
470,V2,NET,I,
471,V1,NET,II,
472,V2,NET,II,
473,V1,NET,III,
474,V2,NET,III,
475,V1,NET,IV,
476,V2,NET,IV,
477,V1,NET,V,
478,V2,NET,V,
479,V1,NET,VI,
480,V2,NET,VI,
481,V1,NET,I,
482,V2,NET,I,
483,V1,NET,II,
484,V2,NET,II,
485,V1,NET,III,
486,V2,NET,III,
487,V1,NET,IV,
488,V2,NET,IV,
489,V1,NET,V,
490,V2,NET,V,
491,V1,NET,VI,
492,V2,NET,VI,
493,V1,NET,I,
494,V2,NET,I,
495,V1,NET,II,
496,V2,NET,II,
497,V1,NET,III,
498,V2,NET,III,
499,V1,NET,IV,
500,V2,NET,IV,
501,V1,NET,V,
502,V2,NET,V,
503,V1,NET,VI,
504,V2,NET,VI,
505,V1,NET,I,
506,V2,NET,I,
507,V1,NET,II,
508,V2,NET,II,
509,V1,NET,III,
510,V2,NET,III,
511,V1,NET,IV,
512,V2,NET,IV,
513,V1,NET,V,
514,V2,NET,V,
515,V1,NET,VI,
516,V2,NET,VI,
517,V1,NET,I,
518,V2,NET,I,
519,V1,NET,II,
520,V2,NET,II,
521,V1,NET,III,
522,V2,NET,III,
523,V1,NET,IV,
524,V2,NET,IV,
525,V1,NET,V,
526,V2,NET,V,
527,V1,NET,VI,
528,V2,NET,VI,
529,V1,NET,I,
530,V2,NET,I,
531,V1,NET,II,
532,V2,NET,II,
533,V1,NET,III,
534,V2,NET,III,
535,V1,NET,IV,
536,V2,NET,IV,
537,V1,NET,V,
538,V2,NET,V,
539,V1,NET,VI,
540,V2,NET,VI,
541,V1,NET,I,
542,V2,NET,I,
543,V1,NET,II,
544,V2,NET,II,
545,V1,NET,III,
546,V2,NET,III,
547,V1,NET,IV,
548,V2,NET,IV,
549,V1,NET,V,
550,V2,NET,V,
551,V1,NET,VI,
552,V2,NET,VI,
553,V1,NET,I,
554,V2,NET,I,
555,V1,NET,II,
556,V2,NET,II,
557,V1,NET,III,
558,V2,NET,III,
559,V1,NET,IV,
560,V2,NET,IV,
561,V1,NET,V,
562,V2,NET,V,
563,V1,NET,VI,
564,V2,NET,VI,
565,V1,NET,I,
566,V2,NET,I,
567,V1,NET,II,
568,V2,NET,II,
569,V1,NET,III,
570,V2,NET,III,
571,V1,NET,IV,
572,V2,NET,IV,
573,V1,NET,V,
574,V2,NET,V,
575,V1,NET,VI,
576,V2,NET,VI,
577,V1,NET,I,
578,V2,NET,I,
579,V1,NET,II,
580,V2,NET,II,
581,V1,NET,III,
582,V2,NET,III,
583,V1,NET,IV,
584,V2,NET,IV,
585,V1,NET,V,
586,V2,NET,V,
587,V1,NET,VI,
588,V2,NET,VI,
589,V1,NET,I,
590,V2,NET,I,
591,V1,NET,II,
592,V2,NET,II,
593,V1,NET,III,
594,V2,NET,III,
595,V1,NET,IV,
596,V2,NET,IV,
597,V1,NET,V,
598,V2,NET,V,
599,V1,NET,VI,
600,V2,NET,VI,
601,V1,NET,I,
602,V2,NET,I,
603,V1,NET,II,
604,V2,NET,II,
605,V1,NET,III,
606,V2,NET,III,
607,V1,NET,IV,
608,V2,NET,IV,
609,V1,NET,V,
610,V2,NET,V,
611,V1,NET,VI,
612,V2,NET,VI,
613,V1,NET,I,
614,V2,NET,I,
615,V1,NET,II,
616,V2,NET,II,
617,V1,NET,III,
618,V2,NET,III,
619,V1,NET,IV,
620,V2,NET,IV,
621,V1,NET,V,
622,V2,NET,V,
623,V1,NET,VI,
624,V2,NET,VI,
625,V1,NET,I,
626,V2,NET,I,
627,V1,NET,II,
628,V2,NET,II,
629,V1,NET,III,
630,V2,NET,III,
631,V1,NET,IV,
632,V2,NET,IV,
633,V1,NET,V,
634,V2,NET,V,
635,V1,NET,VI,
636,V2,NET,VI,
637,V1,NET,I,
638,V2,NET,I,
639,V1,NET,II,
640,V2,NET,II,
641,V1,NET,III,
642,V2,NET,III,
643,V1,NET,IV,
644,V2,NET,IV,
645,V1,NET,V,
646,V2,NET,V,
647,V1,NET,VI,
648,V2,NET,VI,
649,V1,NET,I,
650,V2,NET,I,
651,V1,NET,II,
652,V2,NET,II,
653,V1,NET,III,
654,V2,NET,III,
655,V1,NET,IV,
656,V2,NET,IV,
657,V1,NET,V,
658,V2,NET,V,
659,V1,NET,VI,
660,V2,NET,VI,
661,V1,NET,I,
662,V2,NET,I,
663,V1,NET,II,
664,V2,NET,II,
665,V1,NET,III,
666,V2,NET,III,
667,V1,NET,IV,
668,V2,NET,IV,
669,V1,NET,V,
670,V2,NET,V,
671,V1,NET,VI,
672,V2,NET,VI,
673,V1,NET,I,
674,V2,NET,I,
675,V1,NET,II,
676,V2,NET,II,
677,V1,NET,III,
678,V2,NET,III,
679,V1,NET,IV,
680,V2,NET,IV,
681,V1,NET,V,
682,V2,NET,V,
683,V1,NET,VI,
684,V2,NET,VI,
685,V1,NET,I,
686,V2,NET,I,
687,V1,NET,II,
688,V2,NET,II,
689,V1,NET,III,
690,V2,NET,III,
691,V1,NET,IV,
692,V2,NET,IV,
693,V1,NET,V,
694,V2,NET,V,
695,V1,NET,VI,
696,V2,NET,VI,
697,V1,NET,I,
698,V2,NET,I,
699,V1,NET,II,
700,V2,NET,II,
701,V1,NET,III,
702,V2,NET,III,
703,V1,NET,IV,
704,V2,NET,IV,
705,V1,NET,V,
706,V2,NET,V,
707,V1,NET,VI,
708,V2,NET,VI,
709,V1,NET,I,
710,V2,NET,I,
711,V1,NET,II,
712,V2,NET,II,
713,V1,NET,III,
714,V2,NET,III,
715,V1,NET,IV,
716,V2,NET,IV,
717,V1,NET,V,
718,V2,NET,V,
719,V1,NET,VI,
720,V2,NET,VI,
721,V1,NET,I,
722,V2,NET,I,
723,V1,NET,II,
724,V2,NET,II,
725,V1,NET,III,
726,V2,NET,III,
727,V1,NET,IV,
728,V2,NET,IV,
729,V1,NET,V,
730,V2,NET,V,
731,V1,NET,VI,
732,V2,NET,VI,
733,V1,NET,I,
734,V2,NET,I,
735,V1,NET,II,
736,V2,NET,II,
737,V1,NET,III,
738,V2,NET,III,
739,V1,NET,IV,
740,V2,NET,IV,
741,V1,NET,V,
742,V2,NET,V,
743,V1,NET,VI,
744,V2,NET,VI,
745,V1,NET,I,
746,V2,NET,I,
747,V1,NET,II,
748,V2,NET,II,
749,V1,NET,III,
750,V2,NET,III,
751,V1,NET,IV,
752,V2,NET,IV,
753,V1,NET,V,
754,V2,NET,V,
755,V1,NET,VI,
756,V2,NET,VI,
757,V1,NET,I,
758,V2,NET,I,
759,V1,NET,II,
760,V2,NET,II,
761,V1,NET,III,
762,V2,NET,III,
763,V1,NET,IV,
764,V2,NET,IV,
765,V1,NET,V,
766,V2,NET,V,
767,V1,NET,VI,
768,V2,NET,VI,
769,V1,NET,I,
770,V2,NET,I,
771,V1,NET,II,
772,V2,NET,II,
773,V1,NET,III,
774,V2,NET,III,
775,V1,NET,IV,
776,V2,NET,IV,
777,V1,NET,V,
778,V2,NET,V,
779,V1,NET,VI,
780,V2,NET,VI,
781,V1,NET,I,
782,V2,NET,I,
783,V1,NET,II,
784,V2,NET,II,
785,V1,NET,III,
786,V2,NET,III,
787,V1,NET,IV,
788,V2,NET,IV,
789,V1,NET,V,
790,V2,NET,V,
791,V1,NET,VI,
792,V2,NET,VI,
793,V1,NET,I,
794,V2,NET,I,
795,V1,NET,II,
796,V2,NET,II,
797,V1,NET,III,
798,V2,NET,III,
799,V1,NET,IV,
800,V2,NET,IV,
801,V1,NET,V,
802,V2,NET,V,
803,V1,NET,VI,
804,V2,NET,VI,
805,V1,NET,I,
806,V2,NET,I,
807,V1,NET,II,
808,V2,NET,II,
809,V1,NET,III,
810,V2,NET,III,
811,V1,NET,IV,
812,V2,NET,IV,
813,V1,NET,V,
814,V2,NET,V,
815,V1,NET,VI,
816,V2,NET,VI,
817,V1,NET,I,
818,V2,NET,I,
819,V1,NET,II,
820,V2,NET,II,
821,V1,NET,III,
822,V2,NET,III,
823,V1,NET,IV,
824,V2,NET,IV,
825,V1,NET,V,
826,V2,NET,V,
827,V1,NET,VI,
828,V2,NET,VI,
829,V1,NET,I,
830,V2,NET,I,
831,V1,NET,II,
832,V2,NET,II,
833,V1,NET,III,
834,V2,NET,III,
835,V1,NET,IV,
836,V2,NET,IV,
837,V1,NET,V,
838,V2,NET,V,
839,V1,NET,VI,
840,V2,NET,VI,
841,V1,NET,I,
842,V2,NET,I,
843,V1,NET,II,
844,V2,NET,II,
845,V1,NET,III,
846,V2,NET,III,
847,V1,NET,IV,
848,V2,NET,IV,
849,V1,NET,V,
850,V2,NET,V,
851,V1,NET,VI,
852,V2,NET,VI,
853,V1,NET,I,
854,V2,NET,I,
855,V1,NET,II,
856,V2,NET,II,
857,V1,NET,III,
858,V2,NET,III,
859,V1,NET,IV,
860,V2,NET,IV,
861,V1,NET,V,
862,V2,NET,V,
863,V1,NET,VI,
864,V2,NET,VI,
865,V1,NET,I,
866,V2,NET,I,
867,V1,NET,II,
868,V2,NET,II,
869,V1,NET,III,
870,V2,NET,III,
871,V1,NET,IV,
872,V2,NET,IV,
873,V1,NET,V,
874,V2,NET,V,
875,V1,NET,VI,
876,V2,NET,VI,
877,V1,NET,I,
878,V2,NET,I,
879,V1,NET,II,
880,V2,NET,II,
881,V1,NET,III,
882,V2,NET,III,
883,V1,NET,IV,
884,V2,NET,IV,
885,V1,NET,V,
886,V2,NET,V,
887,V1,NET,VI,
888,V2,NET,VI,
889,V1,NET,I,
890,V2,NET,I,
891,V1,NET,II,
892,V2,NET,II,
893,V1,NET,III,
894,V2,NET,III,
895,V1,NET,IV,
896,V2,NET,IV,
897,V1,NET,V,
898,V2,NET,V,
899,V1,NET,VI,
900,V2,NET,VI,
901,V1,NET,I,
902,V2,NET,I,
903,V1,NET,II,
904,V2,NET,II,
905,V1,NET,III,
906,V2,NET,III,
907,V1,NET,IV,
908,V2,NET,IV,
909,V1,NET,V,
910,V2,NET,V,
911,V1,NET,VI,
912,V2,NET,VI,
913,V1,NET,I,
914,V2,NET,I,
915,V1,NET,II,
916,V2,NET,II,
917,V1,NET,III,
918,V2,NET,III,
919,V1,NET,IV,
920,V2,NET,IV,
921,V1,NET,V,
922,V2,NET,V,
923,V1,NET,VI,
924,V2,NET,VI,
925,V1,NET,I,
926,V2,NET,I,
927,V1,NET,II,
928,V2,NET,II,
929,V1,NET,III,
930,V2,NET,III,
931,V1,NET,IV,
932,V2,NET,IV,
933,V1,NET,V,
934,V2,NET,V,
935,V1,NET,VI,
936,V2,NET,VI,
937,V1,NET,I,
938,V2,NET,I,
939,V1,NET,II,
940,V2,NET,II,
941,V1,NET,III,
942,V2,NET,III,
943,V1,NET,IV,
944,V2,NET,IV,
945,V1,NET,V,
946,V2,NET,V,
947,V1,NET,VI,
948,V2,NET,VI,
949,V1,NET,I,
950,V2,NET,I,
951,V1,NET,II,
952,V2,NET,II,
953,V1,NET,III,
954,V2,NET,III,
955,V1,NET,IV,
956,V2,NET,IV,
957,V1,NET,V,
958,V2,NET,V,
959,V1,NET,VI,
960,V2,NET,VI,
961,V1,NET,I,
962,V2,NET,I,
963,V1,NET,II,
964,V2,NET,II,
965,V1,NET,III,
966,V2,NET,III,
967,V1,NET,IV,
968,V2,NET,IV,
969,V1,NET,V,
970,V2,NET,V,
971,V1,NET,VI,
972,V2,NET,VI,
973,V1,NET,I,
974,V2,NET,I,
975,V1,NET,II,
976,V2,NET,II,
977,V1,NET,III,
978,V2,NET,III,
979,V1,NET,IV,
980,V2,NET,IV,
981,V1,NET,V,
982,V2,NET,V,
983,V1,NET,VI,
984,V2,NET,VI,
985,V1,NET,I,
986,V2,NET,I,
987,V1,NET,II,
988,V2,NET,II,
989,V1,NET,III,
990,V2,NET,III,
991,V1,NET,IV,
992,V2,NET,IV,
993,V1,NET,V,
994,V2,NET,V,
995,V1,NET,VI,
996,V2,NET,VI,
997,V1,NET,I,
998,V2,NET,I,
999,V1,NET,II,
1000,V2,NET,II,
1001,V1,NET,III,
1002,V2,NET,III,
1003,V1,NET,IV,
1004,V2,NET,IV,
1005,V1,NET,V,
1006,V2,NET,V,
1007,V1,NET,VI,
1008,V2,NET,VI,
1009,V1,NET,I,
1010,V2,NET,I,
1011,V1,NET,II,
1012,V2,NET,II,
1013,V1,NET,III,
1014,V2,NET,III,
1015,V1,NET,IV,
1016,V2,NET,IV,
1017,V1,NET,V,
1018,V2,NET,V,
1019,V1,NET,VI,
1020,V2,NET,VI,
1021,V1,NET,I,
1022,V2,NET,I,
1023,V1,NET,II,
1024,V2,NET,II,
1025,V1,NET,III,
1026,V2,NET,III,
1027,V1,NET,IV,
1028,V2,NET,IV,
1029,V1,NET,V,
1030,V2,NET,V,
1031,V1,NET,VI,
1032,V2,NET,VI,
1033,V1,NET,I,
1034,V2,NET,I,
1035,V1,NET,II,
1036,V2,NET,II,
1037,V1,NET,III,
1038,V2,NET,III,
1039,V1,NET,IV,
1040,V2,NET,IV,
1041,V1,NET,V,
1042,V2,NET,V,
1043,V1,NET,VI,
1044,V2,NET,VI,
1045,V1,NET,I,
1046,V2,NET,I,
1047,V1,NET,II,
1048,V2,NET,II,
1049,V1,NET,III,
1050,V2,NET,III,
1051,V1,NET,IV,
1052,V2,NET,IV,
1053,V1,NET,V,
1054,V2,NET,V,
1055,V1,NET,VI,
1056,V2,NET,VI,
1057,V1,NET,I,
1058,V2,NET,I,
1059,V1,NET,II,
1060,V2,NET,II,
1061,V1,NET,III,
1062,V2,NET,III,
1063,V1,NET,IV,
1064,V2,NET,IV,
1065,V1,NET,V,
1066,V2,NET,V,
1067,V1,NET,VI,
1068,V2,NET,VI,
1069,V1,NET,I,
1070,V2,NET,I,
1071,V1,NET,II,
1072,V2,NET,II,
1073,V1,NET,III,
1074,V2,NET,III,
1075,V1,NET,IV,
1076,V2,NET,IV,
1077,V1,NET,V,
1078,V2,NET,V,
1079,V1,NET,VI,
1080,V2,NET,VI,
1081,V1,NET,I,
1082,V2,NET,I,
1083,V1,NET,II,
1084,V2,NET,II,
1085,V1,NET,III,
1086,V2,NET,III,
1087,V1,NET,IV,
1088,V2,NET,IV,
1089,V1,NET,V,
1090,V2,NET,V,
1091,V1,NET,VI,
1092,V2,NET,VI,
1093,V1,NET,I,
1094,V2,NET,I,
1095,V1,NET,II,
1096,V2,NET,II,
1097,V1,NET,III,
1098,V2,NET,III,
1099,V1,NET,IV,
1100,V2,NET,IV,
1101,V1,NET,V,
1102,V2,NET,V,
1103,V1,NET,VI,
1104,V2,NET,VI,
1105,V1,NET,I,
1106,V2,NET,I,
1107,V1,NET,II,
1108,V2,NET,II,
1109,V1,NET,III,
1110,V2,NET,III,
1111,V1,NET,IV,
1112,V2,NET,IV,
1113,V1,NET,V,
1114,V2,NET,V,
1115,V1,NET,VI,
1116,V2,NET,VI,
1117,V1,NET,I,
1118,V2,NET,I,
1119,V1,NET,II,
1120,V2,NET,II,
1121,V1,NET,III,
1122,V2,NET,III,
1123,V1,NET,IV,
1124,V2,NET,IV,
1125,V1,NET,V,
1126,V2,NET,V,
1127,V1,NET,VI,
1128,V2,NET,VI,
1129,V1,NET,I,
1130,V2,NET,I,
1131,V1,NET,II,
1132,V2,NET,II,
1133,V1,NET,III,
1134,V2,NET,III,
1135,V1,NET,IV,
1136,V2,NET,IV,
1137,V1,NET,V,
1138,V2,NET,V,
1139,V1,NET,VI,
1140,V2,NET,VI,
1141,V1,NET,I,
1142,V2,NET,I,
1143,V1,NET,II,
1144,V2,NET,II,
1145,V1,NET,III,
1146,V2,NET,III,
1147,V1,NET,IV,
1148,V2,NET,IV,
1149,V1,NET,V,
1150,V2,NET,V,
1151,V1,NET,VI,
1152,V2,NET,VI,
1153,V1,NET,I,
1154,V2,NET,I,
1155,V1,NET,II,
1156,V2,NET,II,
1157,V1,NET,III,
1158,V2,NET,III,
1159,V1,NET,IV,
1160,V2,NET,IV,
1161,V1,NET,V,
1162,V2,NET,V,
1163,V1,NET,VI,
1164,V2,NET,VI,
1165,V1,NET,I,
1166,V2,NET,I,
1167,V1,NET,II,
1168,V2,NET,II,
1169,V1,NET,III,
1170,V2,NET,III,
1171,V1,NET,IV,
1172,V2,NET,IV,
1173,V1,NET,V,
1174,V2,NET,V,
1175,V1,NET,VI,
1176,V2,NET,VI,
1177,V1,NET,I,
1178,V2,NET,I,
1179,V1,NET,II,
1180,V2,NET,II,
1181,V1,NET,III,
1182,V2,NET,III,
1183,V1,NET,IV,
1184,V2,NET,IV,
1185,V1,NET,V,
1186,V2,NET,V,
1187,V1,NET,VI,
1188,V2,NET,VI,
1189,V1,NET,I,
1190,V2,NET,I,
1191,V1,NET,II,
1192,V2,NET,II,
1193,V1,NET,III,
1194,V2,NET,III,
1195,V1,NET,IV,
1196,V2,NET,IV,
1197,V1,NET,V,
1198,V2,NET,V,
1199,V1,NET,VI,
1200,V2,NET,VI,
1201,V1,NET,I,
1202,V2,NET,I,
1203,V1,NET,II,
1204,V2,NET,II,
1205,V1,NET,III,
1206,V2,NET,III,
1207,V1,NET,IV,
1208,V2,NET,IV,
1209,V1,NET,V,
1210,V2,NET,V,
1211,V1,NET,VI,
1212,V2,NET,VI,
1213,V1,NET,I,
1214,V2,NET,I,
