,section,value,sample
383,A8V1Section.a,,A8V1Section.a
384,A8V1Section2,,A8V1Section2
385,A8V1Section5,,A8V1Section5
386,A8V1Section8,,A8V1Section8
387,A9V1Section.a,,A9V1Section.a
388,A9V1Section.b,,A9V1Section.b
389,A9V1Section.c,,A9V1Section.c
390,A9V1Section12,,A9V1Section12
391,A9V1Section2,,A9V1Section2
392,A9V1Section7,,A9V1Section7
393,A7V1Section.a,,A7V1Section.a
394,A7V1Section1,,A7V1Section1
395,A7V1Section2,,A7V1Section2
396,A7V1Section3,,A7V1Section3
397,A8V1Section.a,,A8V1Section.a
398,A8V1Section2,,A8V1Section2
399,A8V1Section5,,A8V1Section5
400,A8V1Section8,,A8V1Section8
401,A9V1Section.a,,A9V1Section.a
402,A9V1Section.b,,A9V1Section.b
403,A9V1Section.c,,A9V1Section.c
404,A9V1Section12,,A9V1Section12
405,A9V1Section2,,A9V1Section2
406,A9V1Section7,,A9V1Section7
407,A7V1Section.a,,A7V1Section.a
408,A7V1Section1,,A7V1Section1
409,A7V1Section2,,A7V1Section2
410,A7V1Section3,,A7V1Section3
411,A8V1Section.a,,A8V1Section.a
412,A8V1Section2,,A8V1Section2
413,A8V1Section5,,A8V1Section5
414,A8V1Section8,,A8V1Section8
415,A9V1Section.a,,A9V1Section.a
416,A9V1Section.b,,A9V1Section.b
417,A9V1Section.c,,A9V1Section.c
418,A9V1Section12,,A9V1Section12
419,A9V1Section2,,A9V1Section2
420,A9V1Section7,,A9V1Section7
421,A7V1Section.a,,A7V1Section.a
422,A7V1Section1,,A7V1Section1
423,A7V1Section2,,A7V1Section2
424,A7V1Section3,,A7V1Section3
425,A8V1Section.a,,A8V1Section.a
426,A8V1Section2,,A8V1Section2
427,A8V1Section5,,A8V1Section5
428,A8V1Section8,,A8V1Section8
429,A9V1Section.a,,A9V1Section.a
430,A9V1Section.b,,A9V1Section.b
431,A9V1Section.c,,A9V1Section.c
432,A9V1Section12,,A9V1Section12
433,A9V1Section2,,A9V1Section2
434,A9V1Section7,,A9V1Section7
435,A7V1Section.a,,A7V1Section.a
436,A7V1Section1,,A7V1Section1
437,A7V1Section2,,A7V1Section2
438,A7V1Section3,,A7V1Section3
439,A8V1Section.a,,A8V1Section.a
440,A8V1Section2,,A8V1Section2
441,A8V1Section5,,A8V1Section5
442,A8V1Section8,,A8V1Section8
443,A9V1Section.a,,A9V1Section.a
444,A9V1Section.b,,A9V1Section.b
445,A9V1Section.c,,A9V1Section.c
446,A9V1Section12,,A9V1Section12
447,A9V1Section2,,A9V1Section2
448,A9V1Section7,,A9V1Section7
449,A7V1Section.a,,A7V1Section.a
450,A7V1Section1,,A7V1Section1
451,A7V1Section2,,A7V1Section2
452,A7V1Section3,,A7V1Section3
453,A8V1Section.a,,A8V1Section.a
454,A8V1Section2,,A8V1Section2
455,A8V1Section5,,A8V1Section5
456,A8V1Section8,,A8V1Section8
457,A9V1Section.a,,A9V1Section.a
458,A9V1Section.b,,A9V1Section.b
459,A9V1Section.c,,A9V1Section.c
460,A9V1Section12,,A9V1Section12
461,A9V1Section2,,A9V1Section2
462,A9V1Section7,,A9V1Section7
463,A7V1Section.a,,A7V1Section.a
464,A7V1Section1,,A7V1Section1
465,A7V1Section2,,A7V1Section2
466,A7V1Section3,,A7V1Section3
467,A8V1Section.a,,A8V1Section.a
468,A8V1Section2,,A8V1Section2
469,A8V1Section5,,A8V1Section5
470,A8V1Section8,,A8V1Section8
471,A9V1Section.a,,A9V1Section.a
472,A9V1Section.b,,A9V1Section.b
473,A9V1Section.c,,A9V1Section.c
474,A9V1Section12,,A9V1Section12
475,A9V1Section2,,A9V1Section2
476,A9V1Section7,,A9V1Section7
477,A7V1Section.a,,A7V1Section.a
478,A7V1Section1,,A7V1Section1
479,A7V1Section2,,A7V1Section2
480,A7V1Section3,,A7V1Section3
481,A8V1Section.a,,A8V1Section.a
482,A8V1Section2,,A8V1Section2
483,A8V1Section5,,A8V1Section5
484,A8V1Section8,,A8V1Section8
485,A9V1Section.a,,A9V1Section.a
486,A9V1Section.b,,A9V1Section.b
487,A9V1Section.c,,A9V1Section.c
488,A9V1Section12,,A9V1Section12
489,A9V1Section2,,A9V1Section2
490,A9V1Section7,,A9V1Section7
491,A7V1Section.a,,A7V1Section.a
492,A7V1Section1,,A7V1Section1
493,A7V1Section2,,A7V1Section2
494,A7V1Section3,,A7V1Section3
495,A8V1Section.a,,A8V1Section.a
496,A8V1Section2,,A8V1Section2
497,A8V1Section5,,A8V1Section5
498,A8V1Section8,,A8V1Section8
499,A9V1Section.a,,A9V1Section.a
500,A9V1Section.b,,A9V1Section.b
501,A9V1Section.c,,A9V1Section.c
502,A9V1Section12,,A9V1Section12
503,A9V1Section2,,A9V1Section2
504,A9V1Section7,,A9V1Section7
505,A7V1Section.a,,A7V1Section.a
506,A7V1Section1,,A7V1Section1
507,A7V1Section2,,A7V1Section2
508,A7V1Section3,,A7V1Section3
509,A8V1Section.a,,A8V1Section.a
510,A8V1Section2,,A8V1Section2
511,A8V1Section5,,A8V1Section5
512,A8V1Section8,,A8V1Section8
513,A9V1Section.a,,A9V1Section.a
514,A9V1Section.b,,A9V1Section.b
515,A9V1Section.c,,A9V1Section.c
516,A9V1Section12,,A9V1Section12
517,A9V1Section2,,A9V1Section2
518,A9V1Section7,,A9V1Section7
519,A7V1Section.a,,A7V1Section.a
520,A7V1Section1,,A7V1Section1
521,A7V1Section2,,A7V1Section2
522,A7V1Section3,,A7V1Section3
523,A8V1Section.a,,A8V1Section.a
524,A8V1Section2,,A8V1Section2
525,A8V1Section5,,A8V1Section5
526,A8V1Section8,,A8V1Section8
527,A9V1Section.a,,A9V1Section.a
528,A9V1Section.b,,A9V1Section.b
529,A9V1Section.c,,A9V1Section.c
530,A9V1Section12,,A9V1Section12
531,A9V1Section2,,A9V1Section2
532,A9V1Section7,,A9V1Section7
533,A7V1Section.a,,A7V1Section.a
534,A7V1Section1,,A7V1Section1
535,A7V1Section2,,A7V1Section2
536,A7V1Section3,,A7V1Section3
537,A8V1Section.a,,A8V1Section.a
538,A8V1Section2,,A8V1Section2
539,A8V1Section5,,A8V1Section5
540,A8V1Section8,,A8V1Section8
541,A9V1Section.a,,A9V1Section.a
542,A9V1Section.b,,A9V1Section.b
543,A9V1Section.c,,A9V1Section.c
544,A9V1Section12,,A9V1Section12
545,A9V1Section2,,A9V1Section2
546,A9V1Section7,,A9V1Section7
547,A7V1Section.a,,A7V1Section.a
548,A7V1Section1,,A7V1Section1
549,A7V1Section2,,A7V1Section2
550,A7V1Section3,,A7V1Section3
551,A8V1Section.a,,A8V1Section.a
552,A8V1Section2,,A8V1Section2
553,A8V1Section5,,A8V1Section5
554,A8V1Section8,,A8V1Section8
555,A9V1Section.a,,A9V1Section.a
556,A9V1Section.b,,A9V1Section.b
557,A9V1Section.c,,A9V1Section.c
558,A9V1Section12,,A9V1Section12
559,A9V1Section2,,A9V1Section2
560,A9V1Section7,,A9V1Section7
561,A7V1Section.a,,A7V1Section.a
562,A7V1Section1,,A7V1Section1
563,A7V1Section2,,A7V1Section2
564,A7V1Section3,,A7V1Section3
565,A8V1Section.a,,A8V1Section.a
566,A8V1Section2,,A8V1Section2
567,A8V1Section5,,A8V1Section5
568,A8V1Section8,,A8V1Section8
569,A9V1Section.a,,A9V1Section.a
570,A9V1Section.b,,A9V1Section.b
571,A9V1Section.c,,A9V1Section.c
572,A9V1Section12,,A9V1Section12
573,A9V1Section2,,A9V1Section2
574,A9V1Section7,,A9V1Section7
575,A7V1Section.a,,A7V1Section.a
576,A7V1Section1,,A7V1Section1
577,A7V1Section2,,A7V1Section2
578,A7V1Section3,,A7V1Section3
579,A8V1Section.a,,A8V1Section.a
580,A8V1Section2,,A8V1Section2
581,A8V1Section5,,A8V1Section5
582,A8V1Section8,,A8V1Section8
583,A9V1Section.a,,A9V1Section.a
584,A9V1Section.b,,A9V1Section.b
585,A9V1Section.c,,A9V1Section.c
586,A9V1Section12,,A9V1Section12
587,A9V1Section2,,A9V1Section2
588,A9V1Section7,,A9V1Section7
589,A7V1Section.a,,A7V1Section.a
590,A7V1Section1,,A7V1Section1
591,A7V1Section2,,A7V1Section2
592,A7V1Section3,,A7V1Section3
593,A8V1Section.a,,A8V1Section.a
594,A8V1Section2,,A8V1Section2
595,A8V1Section5,,A8V1Section5
596,A8V1Section8,,A8V1Section8
597,A9V1Section.a,,A9V1Section.a
598,A9V1Section.b,,A9V1Section.b
599,A9V1Section.c,,A9V1Section.c
600,A9V1Section12,,A9V1Section12
601,A9V1Section2,,A9V1Section2
602,A9V1Section7,,A9V1Section7
603,A7V1Section.a,,A7V1Section.a
604,A7V1Section1,,A7V1Section1
605,A7V1Section2,,A7V1Section2
606,A7V1Section3,,A7V1Section3
607,A8V1Section.a,,A8V1Section.a
608,A8V1Section2,,A8V1Section2
609,A8V1Section5,,A8V1Section5
610,A8V1Section8,,A8V1Section8
611,A9V1Section.a,,A9V1Section.a
612,A9V1Section.b,,A9V1Section.b
613,A9V1Section.c,,A9V1Section.c
614,A9V1Section12,,A9V1Section12
615,A9V1Section2,,A9V1Section2
616,A9V1Section7,,A9V1Section7
617,A7V1Section.a,,A7V1Section.a
618,A7V1Section1,,A7V1Section1
619,A7V1Section2,,A7V1Section2
620,A7V1Section3,,A7V1Section3
621,A8V1Section.a,,A8V1Section.a
622,A8V1Section2,,A8V1Section2
623,A8V1Section5,,A8V1Section5
624,A8V1Section8,,A8V1Section8
625,A9V1Section.a,,A9V1Section.a
626,A9V1Section.b,,A9V1Section.b
627,A9V1Section.c,,A9V1Section.c
628,A9V1Section12,,A9V1Section12
629,A9V1Section2,,A9V1Section2
630,A9V1Section7,,A9V1Section7
631,A7V1Section.a,,A7V1Section.a
632,A7V1Section1,,A7V1Section1
633,A7V1Section2,,A7V1Section2
634,A7V1Section3,,A7V1Section3
635,A8V1Section.a,,A8V1Section.a
636,A8V1Section2,,A8V1Section2
637,A8V1Section5,,A8V1Section5
638,A8V1Section8,,A8V1Section8
639,A9V1Section.a,,A9V1Section.a
640,A9V1Section.b,,A9V1Section.b
641,A9V1Section.c,,A9V1Section.c
642,A9V1Section12,,A9V1Section12
643,A9V1Section2,,A9V1Section2
644,A9V1Section7,,A9V1Section7
645,A7V1Section.a,,A7V1Section.a
646,A7V1Section1,,A7V1Section1
647,A7V1Section2,,A7V1Section2
648,A7V1Section3,,A7V1Section3
649,A8V1Section.a,,A8V1Section.a
650,A8V1Section2,,A8V1Section2
651,A8V1Section5,,A8V1Section5
652,A8V1Section8,,A8V1Section8
653,A9V1Section.a,,A9V1Section.a
654,A9V1Section.b,,A9V1Section.b
655,A9V1Section.c,,A9V1Section.c
656,A9V1Section12,,A9V1Section12
657,A9V1Section2,,A9V1Section2
658,A9V1Section7,,A9V1Section7
659,A7V1Section.a,,A7V1Section.a
660,A7V1Section1,,A7V1Section1
661,A7V1Section2,,A7V1Section2
662,A7V1Section3,,A7V1Section3
663,A8V1Section.a,,A8V1Section.a
664,A8V1Section2,,A8V1Section2
665,A8V1Section5,,A8V1Section5
666,A8V1Section8,,A8V1Section8
667,A9V1Section.a,,A9V1Section.a
668,A9V1Section.b,,A9V1Section.b
669,A9V1Section.c,,A9V1Section.c
670,A9V1Section12,,A9V1Section12
671,A9V1Section2,,A9V1Section2
672,A9V1Section7,,A9V1Section7
673,A7V1Section.a,,A7V1Section.a
674,A7V1Section1,,A7V1Section1
675,A7V1Section2,,A7V1Section2
676,A7V1Section3,,A7V1Section3
677,A8V1Section.a,,A8V1Section.a
678,A8V1Section2,,A8V1Section2
679,A8V1Section5,,A8V1Section5
680,A8V1Section8,,A8V1Section8
681,A9V1Section.a,,A9V1Section.a
682,A9V1Section.b,,A9V1Section.b
683,A9V1Section.c,,A9V1Section.c
684,A9V1Section12,,A9V1Section12
685,A9V1Section2,,A9V1Section2
686,A9V1Section7,,A9V1Section7
687,A7V1Section.a,,A7V1Section.a
688,A7V1Section1,,A7V1Section1
689,A7V1Section2,,A7V1Section2
690,A7V1Section3,,A7V1Section3
691,A8V1Section.a,,A8V1Section.a
692,A8V1Section2,,A8V1Section2
693,A8V1Section5,,A8V1Section5
694,A8V1Section8,,A8V1Section8
695,A9V1Section.a,,A9V1Section.a
696,A9V1Section.b,,A9V1Section.b
697,A9V1Section.c,,A9V1Section.c
698,A9V1Section12,,A9V1Section12
699,A9V1Section2,,A9V1Section2
700,A9V1Section7,,A9V1Section7
701,A7V1Section.a,,A7V1Section.a
702,A7V1Section1,,A7V1Section1
703,A7V1Section2,,A7V1Section2
704,A7V1Section3,,A7V1Section3
705,A8V1Section.a,,A8V1Section.a
706,A8V1Section2,,A8V1Section2
707,A8V1Section5,,A8V1Section5
708,A8V1Section8,,A8V1Section8
709,A9V1Section.a,,A9V1Section.a
